arm,kind,objective_status,aggregation,relative_token,relative_coordinate,mean,sem,sem_between_events,sem_between_rollouts,n_units,n_rollouts,n_events
L22_SV32,event,ambiguous,event_weighted,14,generated_local_index,0.14988031857810413,0.35269718567950537,0.35269718567950537,,4,4,4
L22_SV32,event,ambiguous,event_weighted,15,generated_local_index,0.5108070811014691,0.2951958658271831,0.2951958658271831,,4,4,4
L22_SV32,event,ambiguous,event_weighted,16,generated_local_index,-0.27560382602072303,0.4722475529379318,0.4722475529379318,,4,4,4
L22_SV32,event,ambiguous,event_weighted,17,generated_local_index,-0.6896938099015605,0.5800363267804208,0.5800363267804208,,4,4,4
L22_SV32,event,ambiguous,event_weighted,18,generated_local_index,-0.6500054558229036,0.5983939798810944,0.5983939798810944,,4,4,4
L22_SV32,event,ambiguous,event_weighted,19,generated_local_index,0.6938755701357358,0.48147640877784426,0.48147640877784426,,4,4,4
L22_SV32,event,ambiguous,event_weighted,20,generated_local_index,0.19277118570020027,0.35737094538123204,0.35737094538123204,,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,-20,generated_local_index,0.3224672832947654,0.29751584115997115,,0.29751584115997115,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-19,generated_local_index,-0.022061243053968588,0.3874764585637954,,0.3874764585637954,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-18,generated_local_index,0.22113361014674623,0.14669402080446237,,0.14669402080446237,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-17,generated_local_index,-0.047496130994229446,0.13664722545853775,,0.13664722545853775,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-16,generated_local_index,0.2765536163572953,0.21117917658121685,,0.21117917658121685,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-15,generated_local_index,0.3017678453049587,0.14637692069014147,,0.14637692069014147,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-14,generated_local_index,-0.32639120707100144,0.36947194194854577,,0.36947194194854577,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-13,generated_local_index,-0.19427843145417367,0.14473764239995535,,0.14473764239995535,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-12,generated_local_index,0.2310354043141727,0.8172844159541072,,0.8172844159541072,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-11,generated_local_index,1.1434275828752754,0.5371346954004766,,0.5371346954004766,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-10,generated_local_index,1.0526113813208262,0.31162286194029826,,0.31162286194029826,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-9,generated_local_index,0.33913355926081673,0.5622322752746984,,0.5622322752746984,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-8,generated_local_index,-0.06938581331297994,0.6411457096158188,,0.6411457096158188,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-7,generated_local_index,0.05135532068343339,0.2592079459093694,,0.2592079459093694,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-6,generated_local_index,-0.29866993204639003,0.5943802526676738,,0.5943802526676738,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-5,generated_local_index,0.07767246096750019,0.5399249839122587,,0.5399249839122587,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-4,generated_local_index,-0.23340008188356187,0.38330489858876493,,0.38330489858876493,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-3,generated_local_index,-0.7273362845038848,0.5115257341705028,,0.5115257341705028,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-2,generated_local_index,-1.1114040589672984,0.3407995277727411,,0.3407995277727411,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,-1,generated_local_index,-0.5806333030838322,0.43433968650957555,,0.43433968650957555,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,0,generated_local_index,1.2261249697569396,0.628355624993929,,0.628355624993929,4,4,5
L22_SV32,event,ambiguous,rollout_weighted,1,generated_local_index,0.07067766726324504,0.4095755601577174,,0.4095755601577174,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,2,generated_local_index,-0.22295795466278084,0.5835175733311692,,0.5835175733311692,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,3,generated_local_index,-0.1431079708469794,0.29797328430064646,,0.29797328430064646,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,4,generated_local_index,0.1466478760281098,0.5090782230168068,,0.5090782230168068,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,5,generated_local_index,-0.2619902294300809,0.31101726289501413,,0.31101726289501413,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,6,generated_local_index,0.6184829639420979,0.5886137983452772,,0.5886137983452772,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,7,generated_local_index,-0.526144783765488,0.32576115307771913,,0.32576115307771913,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,8,generated_local_index,-0.3185014859282404,0.4593482140219088,,0.4593482140219088,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,9,generated_local_index,-0.2149409000418632,0.31361778121387385,,0.31361778121387385,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,10,generated_local_index,-0.26356680220560214,0.5426271263542999,,0.5426271263542999,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,11,generated_local_index,0.02897098215239169,0.6626877454336716,,0.6626877454336716,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,12,generated_local_index,-0.3863975041582977,0.4892992806657082,,0.4892992806657082,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,13,generated_local_index,0.13936182442922984,0.3529591231242137,,0.3529591231242137,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,14,generated_local_index,0.14988031857810413,0.35269718567950537,,0.35269718567950537,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,15,generated_local_index,0.5108070811014691,0.2951958658271831,,0.2951958658271831,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,16,generated_local_index,-0.27560382602072303,0.4722475529379318,,0.4722475529379318,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,17,generated_local_index,-0.6896938099015605,0.5800363267804208,,0.5800363267804208,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,18,generated_local_index,-0.6500054558229036,0.5983939798810944,,0.5983939798810944,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,19,generated_local_index,0.6938755701357358,0.48147640877784426,,0.48147640877784426,4,4,4
L22_SV32,event,ambiguous,rollout_weighted,20,generated_local_index,0.19277118570020027,0.35737094538123204,,0.35737094538123204,4,4,4
L22_SV32,matched_control_event_mean,all,event_weighted,-20,generated_local_index,-0.07677390291487005,0.06413409445941326,0.06413409445941326,,42,20,42
L22_SV32,matched_control_event_mean,all,event_weighted,-19,generated_local_index,0.003889568425644402,0.06689255170902995,0.06689255170902995,,42,20,42
L22_SV32,matched_control_event_mean,all,event_weighted,-18,generated_local_index,-0.07489086053820178,0.06778955838146586,0.06778955838146586,,43,20,43
L22_SV32,matched_control_event_mean,all,event_weighted,-17,generated_local_index,-0.2241648163949045,0.06058330945516917,0.06058330945516917,,43,20,43
L22_SV32,matched_control_event_mean,all,event_weighted,-16,generated_local_index,-0.03142742594774455,0.05882184083299604,0.05882184083299604,,47,20,47
L22_SV32,matched_control_event_mean,all,event_weighted,-15,generated_local_index,-0.2038334331216531,0.0732493573285985,0.0732493573285985,,49,20,49
L22_SV32,matched_control_event_mean,all,event_weighted,-14,generated_local_index,-0.13200520520035414,0.0729761565522786,0.0729761565522786,,52,20,52
L22_SV32,matched_control_event_mean,all,event_weighted,-13,generated_local_index,-0.13152853080931529,0.07330350412691818,0.07330350412691818,,52,20,52
L22_SV32,matched_control_event_mean,all,event_weighted,-12,generated_local_index,-0.22594760411005788,0.054822331112719995,0.054822331112719995,,53,20,53
L22_SV32,matched_control_event_mean,all,event_weighted,-11,generated_local_index,-0.1963044510352369,0.061588354584653254,0.061588354584653254,,53,20,53
L22_SV32,matched_control_event_mean,all,event_weighted,-10,generated_local_index,-0.035276234697134666,0.06405682236064995,0.06405682236064995,,54,20,54
L22_SV32,matched_control_event_mean,all,event_weighted,-9,generated_local_index,-0.1406458968748737,0.059288006390321155,0.059288006390321155,,54,20,54
L22_SV32,matched_control_event_mean,all,event_weighted,-8,generated_local_index,-0.07673760778186474,0.059831509439556084,0.059831509439556084,,55,20,55
L22_SV32,matched_control_event_mean,all,event_weighted,-7,generated_local_index,-0.09981188781652874,0.05711217281790477,0.05711217281790477,,57,20,57
L22_SV32,matched_control_event_mean,all,event_weighted,-6,generated_local_index,-0.02834173804701337,0.059108172498325624,0.059108172498325624,,57,20,57
L22_SV32,matched_control_event_mean,all,event_weighted,-5,generated_local_index,-0.15037173849930233,0.06086392721206916,0.06086392721206916,,58,20,58
L22_SV32,matched_control_event_mean,all,event_weighted,-4,generated_local_index,-0.14564552297575614,0.05837200242306566,0.05837200242306566,,58,20,58
L22_SV32,matched_control_event_mean,all,event_weighted,-3,generated_local_index,-0.18456190213562568,0.06517896825376403,0.06517896825376403,,58,20,58
L22_SV32,matched_control_event_mean,all,event_weighted,-2,generated_local_index,-0.3311845607069306,0.07195194187188347,0.07195194187188347,,58,20,58
L22_SV32,matched_control_event_mean,all,event_weighted,-1,generated_local_index,0.19688438357962357,0.06008791713649913,0.06008791713649913,,58,20,58
L22_SV32,matched_control_event_mean,all,event_weighted,0,generated_local_index,0.7669433340246279,0.058391259995763514,0.058391259995763514,,58,20,58
L22_SV32,matched_control_event_mean,all,event_weighted,1,generated_local_index,-0.18699842135403955,0.06353226577097597,0.06353226577097597,,46,19,46
L22_SV32,matched_control_event_mean,all,event_weighted,2,generated_local_index,-0.20394404185506784,0.0667519007503576,0.0667519007503576,,46,19,46
L22_SV32,matched_control_event_mean,all,event_weighted,3,generated_local_index,-0.21509853581846952,0.0623414161228554,0.0623414161228554,,45,19,45
L22_SV32,matched_control_event_mean,all,event_weighted,4,generated_local_index,-0.1400776907635875,0.05840396890534883,0.05840396890534883,,41,18,41
L22_SV32,matched_control_event_mean,all,event_weighted,5,generated_local_index,-0.11685745746135019,0.07457687282401128,0.07457687282401128,,39,18,39
L22_SV32,matched_control_event_mean,all,event_weighted,6,generated_local_index,0.08662438456627601,0.06321667249388777,0.06321667249388777,,38,18,38
L22_SV32,matched_control_event_mean,all,event_weighted,7,generated_local_index,0.0064566654555127554,0.0668114134057732,0.0668114134057732,,36,18,36
L22_SV32,matched_control_event_mean,all,event_weighted,8,generated_local_index,-0.024587876275262294,0.06006813071660111,0.06006813071660111,,36,18,36
L22_SV32,matched_control_event_mean,all,event_weighted,9,generated_local_index,-0.16331207625397032,0.08582360263221603,0.08582360263221603,,34,18,34
L22_SV32,matched_control_event_mean,all,event_weighted,10,generated_local_index,0.03362265391586251,0.07306907730275593,0.07306907730275593,,32,18,32
L22_SV32,matched_control_event_mean,all,event_weighted,11,generated_local_index,-0.1259270835308613,0.0926144447179344,0.0926144447179344,,31,18,31
L22_SV32,matched_control_event_mean,all,event_weighted,12,generated_local_index,-0.020996465327678314,0.08072091774750033,0.08072091774750033,,31,18,31
L22_SV32,matched_control_event_mean,all,event_weighted,13,generated_local_index,-0.0910967471799192,0.09085233155255626,0.09085233155255626,,31,18,31
L22_SV32,matched_control_event_mean,all,event_weighted,14,generated_local_index,-0.06571359228674094,0.08401419708864388,0.08401419708864388,,31,18,31
L22_SV32,matched_control_event_mean,all,event_weighted,15,generated_local_index,0.02695954324077315,0.08384886063601578,0.08384886063601578,,30,17,30
L22_SV32,matched_control_event_mean,all,event_weighted,16,generated_local_index,-0.07180283378078858,0.09292803590068474,0.09292803590068474,,29,17,29
L22_SV32,matched_control_event_mean,all,event_weighted,17,generated_local_index,-0.05939366391054984,0.0769821762189065,0.0769821762189065,,28,16,28
L22_SV32,matched_control_event_mean,all,event_weighted,18,generated_local_index,-0.03668662474899869,0.09408085187624955,0.09408085187624955,,28,16,28
L22_SV32,matched_control_event_mean,all,event_weighted,19,generated_local_index,-0.1458040211449075,0.08237853814271537,0.08237853814271537,,28,16,28
L22_SV32,matched_control_event_mean,all,event_weighted,20,generated_local_index,-0.22642474181792305,0.07322062013028004,0.07322062013028004,,28,16,28
L22_SV32,matched_control_event_mean,all,rollout_weighted,-20,generated_local_index,-0.03420838735101264,0.09314784298653868,,0.09314784298653868,20,20,42
L22_SV32,matched_control_event_mean,all,rollout_weighted,-19,generated_local_index,0.057060597734267304,0.08720015785686917,,0.08720015785686917,20,20,42
L22_SV32,matched_control_event_mean,all,rollout_weighted,-18,generated_local_index,-0.05693325709651544,0.0759539973612895,,0.0759539973612895,20,20,43
L22_SV32,matched_control_event_mean,all,rollout_weighted,-17,generated_local_index,-0.21775546805865673,0.07930137414918405,,0.07930137414918405,20,20,43
L22_SV32,matched_control_event_mean,all,rollout_weighted,-16,generated_local_index,0.0026504646863281674,0.07732075590254203,,0.07732075590254203,20,20,47
L22_SV32,matched_control_event_mean,all,rollout_weighted,-15,generated_local_index,-0.1699202577185337,0.06786238136398134,,0.06786238136398134,20,20,49
