comparison,metric,objective_status,arm,event_metric_event_weighted_mean,control_metric_event_weighted_mean,event_metric_rollout_weighted_mean,control_metric_rollout_weighted_mean,n_events,n_rollouts,event_weighted_mean,rollout_weighted_mean,rollout_sd,rollout_se,standardized_rollout_effect,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,event_consistency,rollout_consistency,permutation_p_holm
event_minus_control,trough_response,incorrect,L22_SV32,-1.3149737286662182,-1.3036200421505026,-1.2989924809724354,-1.2771235042150497,15,12,-0.011353686515715866,-0.021868976757385656,0.7242034522249937,0.2090595290450782,-0.03019728322227254,-0.4626707859903084,0.3199146684304126,0.9410029498525073,0.47017649117544125,0.4666666666666667,0.3333333333333333,1.0
event_minus_control,trough_response,ambiguous,L17_SV28,-1.5610362888012177,-1.3896214798863324,-1.5610362888012177,-1.3896214798863324,4,4,-0.17141480891488542,-0.17141480891488542,0.9223269462528773,0.46116347312643863,-0.18585037508802013,-0.8287179448839882,0.6435343733082565,0.8758562071896405,0.4351282435878206,0.75,0.75,1.0
event_minus_control,trough_response,ambiguous,L18_SV30,-1.2707975246476395,-1.270372023361849,-1.2707975246476395,-1.270372023361849,4,4,-0.00042550128579069146,-0.00042550128579069146,0.5985725730298114,0.2992862865149057,-0.000710859977490983,-0.6064452312404687,0.4193870015364333,1.0,0.49862506874656265,0.25,0.25,1.0
event_minus_control,trough_response,ambiguous,L22_SV32,-1.8882693063311895,-1.5106526342010653,-1.8882693063311895,-1.5106526342010653,4,4,-0.37761667213012434,-0.37761667213012434,1.1222639010236284,0.5611319505118142,-0.33647760725948356,-1.4832716244266584,0.5011171075108141,0.6263686815659217,0.31728413579321035,0.75,0.75,1.0
correct_minus_incorrect_paired_rollouts,trough_response,correct_minus_incorrect,L17_SV28,,,,,6,6,-0.22495655055740302,-0.22495655055740302,1.0617784793693974,0.43346924905387657,-0.21186768702545877,-0.8478587320736831,0.6503483020314725,0.6521173941302935,0.3266336683165842,0.8333333333333334,0.8333333333333334,
correct_minus_incorrect_paired_rollouts,trough_response,correct_minus_incorrect,L18_SV30,,,,,6,6,-0.4616362175651458,-0.4616362175651458,0.6256202886350383,0.25540841331476294,-0.7378856247970017,-0.8954172016580978,0.0029776493335548215,0.15769211539423028,0.07724613769311535,0.6666666666666666,0.6666666666666666,
correct_minus_incorrect_paired_rollouts,trough_response,correct_minus_incorrect,L22_SV32,,,,,6,6,-0.47303513348664383,-0.47303513348664383,0.812099357314138,0.3315381743102987,-0.5824843096183653,-1.0560379779713032,0.12311642163867924,0.2512874356282186,0.12519374031298436,0.6666666666666666,0.6666666666666666,
event_minus_control,anchor,all,L17_SV28,-0.07985211375378413,-0.23364507341252927,-0.12198532634797817,-0.28450494493642065,58,20,0.15379295965874515,0.16251961858844247,0.5456957203816099,0.1220212725803997,0.297820951344077,-0.06493747402325198,0.3918142510129582,0.19749012549372533,0.09869506524673766,0.6206896551724138,0.55,0.19749012549372533
event_minus_control,anchor,all,L18_SV30,-0.35848373438826947,-0.6630957784678091,-0.3341193353515517,-0.6919005563878999,58,20,0.30461204407953985,0.35778122103634824,0.5282011637969855,0.11810937080445603,0.6773578809717689,0.15063495385893155,0.6020637074959456,0.003249837508124594,0.001399930003499825,0.7068965517241379,0.7,0.009749512524373782
event_minus_control,anchor,all,L22_SV32,1.0658102055754155,0.7669433340246282,1.052691491208528,0.8004030744276353,58,20,0.2988668715507875,0.2522884167808925,0.6423975304354826,0.1436444546631729,0.3927294312757797,-0.019899756997913683,0.5267525149206769,0.09814509274536273,0.04979751012449377,0.5689655172413793,0.6,0.19629018549072547
event_minus_control,anchor,correct,L17_SV28,0.021032736237595787,-0.11244886727902431,0.09278324862352817,-0.11694194554799844,32,14,0.13348160351662008,0.20972519417152657,0.7697422868103533,0.20572227952544458,0.27246157287341294,-0.18396798203313297,0.5942568077163068,0.3225338733063347,0.1614919254037298,0.59375,0.5,0.3225338733063347
event_minus_control,anchor,correct,L18_SV30,-0.37986560728447516,-0.6849975583364186,-0.34124916051405974,-0.7058318086091756,32,14,0.30513195105194346,0.36458264809511587,0.4842066113488566,0.12940966029130202,0.7529485131966627,0.12382556475383683,0.612783771495964,0.016599170041497927,0.008099595020248988,0.78125,0.7142857142857143,0.03319834008299585
event_minus_control,anchor,correct,L22_SV32,1.2222326346230301,0.7165074988268543,1.2395288967077924,0.6417220903917836,32,14,0.5057251357961758,0.5978068063160088,0.7012928211315121,0.18742839031987563,0.852435371221208,0.2645076926432463,0.9658666099988739,0.004249787510624469,0.0021498925053747312,0.65625,0.7142857142857143,0.012749362531873407
event_minus_control,anchor,incorrect,L17_SV28,-0.12958190002718323,-0.3244609768972801,0.01873370437671756,-0.23376977471523036,21,16,0.1948790768700969,0.2525034790919479,0.59069834841086,0.147674587102715,0.4274660319793534,-0.031390118880936936,0.523775526750356,0.10539473026348682,0.05379731013449328,0.6666666666666666,0.625,0.21078946052697364
event_minus_control,anchor,incorrect,L18_SV30,-0.2751753432828257,-0.6419552050846671,-0.3558874791235911,-0.6642274720705776,21,16,0.36677986180184136,0.30833999294698655,0.5649978318248332,0.1412494579562083,0.5457365950433974,0.06577704909233552,0.6012127599463012,0.028698565071746413,0.014349282535873207,0.6190476190476191,0.625,0.08609569521523924
event_minus_control,anchor,incorrect,L22_SV32,0.7865261170728777,0.792708007385267,0.7368919652206374,0.7756135847546368,21,16,-0.006181890312389217,-0.03872161953399936,0.8050761962601402,0.20126904906503504,-0.04809683817988259,-0.4045794748414977,0.36171754037723997,0.8498075096245188,0.42427878606069697,0.5714285714285714,0.625,0.8498075096245188
event_minus_control,anchor,ambiguous,L17_SV28,-0.5166500513503394,-0.6278739980310076,-0.5438582381531882,-0.697388465984315,5,4,0.11122394668066833,0.1535302278311268,0.2839293821901138,0.1419646910950569,0.5407338495468772,-0.07825473389732782,0.3853151895595814,0.4985750712464377,0.24828758562071895,0.6,0.5,1.0
event_minus_control,anchor,ambiguous,L18_SV30,-0.5715349904954157,-0.6117147955179065,-0.5017613655481752,-0.5911075786130877,5,4,0.04017980502249091,0.08934621306491243,0.5361558573442163,0.26807792867210817,0.16664224001483108,-0.34686730699574386,0.5255597331255687,0.8742562871856407,0.43962801859907,0.6,0.5,1.0
event_minus_control,anchor,ambiguous,L22_SV32,1.237699831381343,0.9815210511756984,1.2261249697569396,0.960965483483992,5,4,0.25617878020564466,0.2651594862729476,0.814051387697673,0.4070256938488365,0.32572819146329374,-0.4500741439510555,0.8546917537462864,0.49867506624668767,0.2462876856157192,0.6,0.75,1.0
correct_minus_incorrect_paired_rollouts,anchor,correct_minus_incorrect,L17_SV28,,,,,11,11,0.0606336632706856,0.0606336632706856,0.7612850308108208,0.22953607324669478,0.07964646724513497,-0.33884277287054276,0.5018765104532934,0.7959602019899005,0.40037998100094996,0.45454545454545453,0.45454545454545453,
correct_minus_incorrect_paired_rollouts,anchor,correct_minus_incorrect,L18_SV30,,,,,11,11,0.13247548697689102,0.13247548697689102,0.6257442786836709,0.18866899882775645,0.21170866676650932,-0.21832348938311158,0.48291105841027687,0.488125593720314,0.24663766811659418,0.5454545454545454,0.5454545454545454,
correct_minus_incorrect_paired_rollouts,anchor,correct_minus_incorrect,L22_SV32,,,,,11,11,0.6444466553759101,0.6444466553759101,0.5424999732731507,0.1635698963749885,1.187920160599582,0.34864792053569504,0.9566164717585499,0.0030998450077496125,0.001799910004499775,0.9090909090909091,0.9090909090909091,
