layer,set,dir,name,gamma_J,fSf_J,inv_J,gamma_R,g0_med,g0sq_over_fSf,snr_a0,alpha_star,corr_pred,template_stability,flip_frac
2,topG_R,47,L02:topG_R:08,31.407235834303386,7016.0197119509,216.4954687225861,10.559174165910719,5.710962782484625,0.02640594799532274,1.098824119567871e+31,0.5,0.18760045342738654,0.01637650653719902,nan
2,topJbar,8,L02:topJbar:01,14.783151186155582,15394.834189348767,975.3967384442575,7.635705907533,5.454412123297997,0.003948326697082304,1.0125552177429198e+31,0.5,0.5448081303873127,0.036489445716142654,nan
2,topJbar,9,L02:topJbar:02,10.134956765898275,6693.004009736657,601.0803769112543,5.29875580391006,6.706564856324755,0.010162431456581165,1.1323793411254883e+31,0.5,0.5165393428029408,0.08057421445846558,nan
2,topJbar,10,L02:topJbar:03,10.573833122426205,5188.593110980125,448.3037776764184,6.4847715056577835,11.002123094910587,0.02881429421914663,1.625623035430908e+31,0.5,0.19211275472042183,0.24133846163749695,nan
2,topJbar,11,L02:topJbar:04,13.825168553633583,6259.435970639134,422.2168502161801,5.27942774453974,8.206978906006878,0.013827425533845378,1.4048967838287353e+31,1.0,0.22264201967194946,0.1673915833234787,nan
2,topJbar,12,L02:topJbar:05,7.524108959929139,3200.9657331603116,375.51910096500234,6.584216412763485,19.301281608240906,0.1640098093870149,2.9739100456237793e+31,0.2,0.027557546576242587,0.41597428917884827,nan
2,topJbar,13,L02:topJbar:06,52.8932402366204,18008.351204077815,334.14860797033987,17.953920884624175,9.934198391534341,0.010074768447486518,1.5778600692749022e+31,1.0,-0.06882793393880289,0.2370353788137436,nan
2,topJbar,14,L02:topJbar:07,4.7039804331833475,1836.7342261393426,322.00920877182523,4.369777163219723,19.525920374412294,0.2325014709330744,2.5555976867675777e+31,0.5,0.0048123458002194835,0.3905850052833557,nan
2,topJbar,15,L02:topJbar:08,5.872391911097501,2021.1661218586346,294.09936860481815,5.309884889137199,18.438887540523154,0.20046873215055663,2.6185601234436033e+31,0.5,-0.05089952121332948,0.3891410529613495,nan
10,gnotj,16,L10:gnotj:01,458.311004031489,1336.0269558008174,2.908763221595325,19.69983286660522,4.170059776299158,0.11534231145143532,3.056937503814697e+31,0.2,-0.16402624606062893,0.08325902372598648,nan
10,gnotj,17,L10:gnotj:02,500.5071548855474,656.4522458496637,1.308958884144888,69.202993465456,2.283878977140037,0.014227908327330098,1.6465227127075193e+31,1.0,0.29378421997102466,0.05604400485754013,nan
10,gnotj,18,L10:gnotj:03,505.24264544584486,644.7094930588504,1.2735187342643934,39.123247407815064,2.702421266448537,0.023217720917368057,1.9671700477600096e+31,1.0,0.16912779544394205,0.034637413918972015,nan
10,gnotj,19,L10:gnotj:04,252.96551834955199,431.1923334442616,1.6978381011975763,67.74989869982252,2.974798051878646,0.04239314596287127,2.0279148101806638e+31,1.0,0.08226292764364779,0.04162619635462761,nan
10,jpriv,48,L10:jpriv:01,324.1966970735122,1443.4407498808812,4.438669773926347,12.584445646849117,4.400452615609316,0.1194285786999776,3.3615606307983394e+31,0.2,-0.1324043986016104,0.11386822164058685,nan
10,jpriv,49,L10:jpriv:02,49.23869493257785,286.89629006257854,5.710663671649986,8.53753138398269,3.326242191830927,0.05551138199605579,2.3656593322753903e+31,nan,0.4296379052844611,0.049183256924152374,nan
10,jpriv,50,L10:jpriv:03,52.258570345590805,710.8340155074716,13.346847481915564,9.947329120956534,3.220633739360753,0.03078028384745438,2.1838451385498045e+31,1.0,0.2990772360380367,0.0504644438624382,nan
10,jpriv,51,L10:jpriv:04,59.86712495025455,404.91476398013043,6.6524378194478375,11.897163943015297,3.0467382613274614,0.0412341327989657,2.1870038032531735e+31,1.0,0.17826003879122143,0.0836418941617012,nan
10,pairH,20,L10:pairH:01,93.85653902081917,699.356502378069,7.372781145057104,14.633138683821576,3.304645679128627,0.035614540879942314,2.303256225585937e+31,1.0,0.2159046874398025,0.07540126144886017,nan
10,pairH,21,L10:pairH:02,89.46758939239581,513.4817407995324,5.675864077380764,27.885455109099865,3.816642760565796,0.036982841521568666,2.4369730949401855e+31,0.5,0.5197670529414083,0.034804679453372955,nan
10,pairH,22,L10:pairH:03,85.89357553875377,403.1432845913391,4.639506224617731,16.636806019942796,3.2442986316595057,0.04504545127194412,2.1671604156494137e+31,1.0,0.24542153776024156,0.06817573308944702,nan
10,pairH,23,L10:pairH:04,85.11799091371599,513.396554155223,5.9615482050621615,27.896340682198794,3.8323907980249308,0.03929088815143439,2.5451995849609374e+31,0.5,0.0012392119008601166,0.03868215158581734,nan
10,pairH,24,L10:pairH:05,77.06491104677785,434.5870850670615,5.566996480744715,30.201858440708495,3.6647806248359425,0.040176958999650535,2.5494845390319824e+31,0.5,0.2715449081184992,0.03763188049197197,nan
10,pairH,25,L10:pairH:06,72.03678884426559,673.3048865313489,9.218708779311466,23.31087933484168,3.1643654988730883,0.027513198645277903,2.299308681488037e+31,1.0,0.20847768274733733,0.05731362849473953,nan
10,pairL,26,L10:pairL:01,16.592958840467766,723.7356200033785,41.1377998758585,8.412269039625077,3.200381577068211,0.022540765585670346,2.261573600769043e+31,1.0,0.2700006179981778,0.09199129045009613,nan
10,pairL,27,L10:pairL:02,3.7608448397610887,442.0097312225048,92.84270882574825,3.9852331528901406,5.9196756712542875,0.08538344540805437,2.9840788841247554e+31,nan,0.20658238419207292,0.08655857294797897,nan
10,pairL,28,L10:pairL:03,5.958178260904952,400.4437598868925,57.5500863691314,3.717540772502371,4.549808375821858,0.05713795855678998,2.232471179962158e+31,nan,0.15461005805900285,0.10833300650119781,nan
10,pairL,29,L10:pairL:04,10.67182680967659,597.9517830613072,51.23035089636286,5.350417255405151,2.8914333935748173,0.018947842580937582,2.0433664321899413e+31,nan,0.3014852115529696,0.07598327100276947,nan
10,pairL,30,L10:pairL:05,18.30790924196321,435.992480217325,22.581030123642417,8.756789772858495,3.142161739306067,0.026530111344680057,2.0896759033203125e+31,1.0,0.6833199065305221,0.06175122410058975,nan
10,pairL,31,L10:pairL:06,12.103735120103568,741.3098246706801,56.572406102239725,6.657343149758678,3.1035892363735864,0.015544105790972691,2.081587982177734e+31,1.0,0.2780240091919717,0.07456861436367035,nan
10,rand,32,L10:rand:01,37.20602449382828,38.74510057140864,1.0141097139710897,9.53467481944458,1.897947762887625,0.10779906414708959,1.3808044910430907e+31,1.0,0.3237448100505144,0.060023948550224304,nan
10,rand,33,L10:rand:02,40.91153857978662,38.62950640744374,0.9216914414608066,10.833452899724907,1.9600625726065193,0.12359265411156709,1.3444272518157958e+31,1.0,0.4916605569453616,0.04831118881702423,nan
10,rand,34,L10:rand:03,42.36071086229109,40.339902121173566,0.9303330438767184,9.739334761771142,1.8357239462203063,0.1152001226444836,1.3580850601196287e+31,nan,0.46635583011752296,0.05706068500876427,nan
10,rand,35,L10:rand:04,34.75737983312406,38.80202721755851,1.0851473849214763,9.67772437876144,1.7821341841653369,0.10559327881429983,1.2556447505950926e+31,1.0,0.5312300601928237,0.04924101009964943,nan
10,rand,36,L10:rand:05,37.06593038794524,39.9984363658318,1.0507673386199055,9.299034254690152,1.9004268425381667,0.11431162385800314,1.2923964500427244e+31,1.0,0.5067567002707698,0.0474124550819397,nan
10,rand,37,L10:rand:06,39.04835292414228,39.8431705034982,0.9948766327286237,9.59616692232995,1.9057688789785292,0.11456156799568494,1.41467227935791e+31,nan,0.4411366287833927,0.06184439733624458,nan
