rank,metric,layer,sv_rank,n_events,n_rollouts,event_weighted_mean,rollout_weighted_mean,rollout_sd,rollout_se,standardized_rollout_effect,rollout_consistency,event_consistency,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,correct_n_events,correct_n_rollouts,correct_rollout_weighted_mean,correct_rollout_consistency,incorrect_n_events,incorrect_n_rollouts,incorrect_rollout_weighted_mean,incorrect_rollout_consistency,ambiguous_n_events,ambiguous_rollout_weighted_mean,status_preservation_ratio,rank_score,permutation_p_holm
421,delta,13,8,45,19,1.160510402255588,2.346396421131334,11.057216103111593,2.536699346860739,0.21220498896381693,0.5789473684210527,0.5333333333333333,-2.369547190582543,7.2599815556877525,0.36076392360763926,0.17248275172482752,24,14,4.007235095614479,0.6428571428571429,17,13,-0.5017239374992175,0.46153846153846156,4,7.036232590675354,0.0,0.041882563611279656,1.0
422,delta,17,27,45,19,4.200510099199083,2.6374303959963616,12.42983378195976,2.851599438977398,0.2121854919592118,0.5789473684210527,0.5333333333333333,-2.7988590508176565,8.158694813962562,0.37006299370062995,0.17898210178982102,24,14,4.966086731070564,0.5,17,13,-0.4841640545771672,0.38461538461538464,4,-5.831022143363953,0.0,0.04187871551826549,1.0
423,delta,10,18,45,19,2.7156206289927165,1.920721585290474,9.404387672213721,2.157514499424175,0.20423675120980533,0.631578947368421,0.6,-2.2983259509529983,5.933739683502599,0.38836116388361164,0.1942805719428057,24,14,-0.8234133436566309,0.5714285714285714,17,13,3.628357483790471,0.6153846153846154,4,9.087711572647095,0.0,0.041653547944105036,1.0
424,delta,4,20,45,19,0.42887340916527644,1.0003785606016191,4.289433650725996,0.9840635688703872,0.2332192643735853,0.42105263157894735,0.5111111111111111,-0.7646425044850299,2.999876081263809,0.32156784321567844,0.15808419158084192,24,14,2.574704593136197,0.6428571428571429,17,13,-1.0314505864412358,0.6153846153846154,4,0.07820069789886475,0.0,0.04142710617162371,1.0
425,delta,15,1,45,19,-1.526004966100057,5.656925883209496,26.09695672753848,5.987052479436533,0.21676573028302942,0.5263157894736842,0.4888888888888889,-5.227659179976111,17.427150646950068,0.3765623437656234,0.18688131186881313,24,14,5.549009050641741,0.42857142857142855,17,13,-1.4473429459791918,0.5384615384615384,4,16.739438831806183,0.0,0.04135661959347271,1.0
426,delta,16,8,45,19,0.8528634866078695,2.4378416130417273,12.041808168048998,2.7625802580014858,0.20244813561389793,0.631578947368421,0.4666666666666667,-2.6986850804404208,7.772190636710117,0.38976102389761025,0.19048095190480951,24,14,-1.4086073296410697,0.42857142857142855,17,13,3.79019741828625,0.6153846153846154,4,3.509699821472168,0.0,0.041288764500202864,1.0
427,delta,20,13,45,19,-1.1752864042917888,-5.107645992647138,30.48918355060276,6.9946984193757915,-0.1675232130821083,0.5263157894736842,0.4444444444444444,-19.276616565595596,7.924796327896278,0.47965203479652035,0.2395760423957604,24,14,-10.004615420386903,0.5714285714285714,17,13,-0.49530281776036983,0.5384615384615384,4,-15.664604663848877,0.09697281653297773,0.04125990387243303,1.0
428,delta,16,7,45,19,0.977736583020952,1.874036572742881,13.575746137698731,3.1144897630205985,0.13804298885192287,0.631578947368421,0.5111111111111111,-3.6520169518103724,8.305076144243541,0.5867413258674132,0.2956704329567043,24,14,2.246437191963196,0.6428571428571429,17,13,0.28065722493024975,0.6923076923076923,4,9.186436593532562,0.14976080457142504,0.04080237867413864,1.0
429,delta,21,16,45,19,-6.935584290822347,-8.645495849743224,43.276969824050525,9.928417791878706,-0.19977128447053655,0.631578947368421,0.5777777777777777,-27.483013469503636,9.59390884899256,0.38886111388861117,0.1860813918608139,24,14,-18.39909346898397,0.7142857142857143,17,13,0.005688545031426009,0.6153846153846154,4,-33.48989486694336,0.0,0.04074282775385943,1.0
430,delta,8,6,45,19,2.5321281380123564,1.31372110258069,8.155117835745086,1.870912343088366,0.16109161498837654,0.6842105263157895,0.6444444444444445,-2.37345905445124,4.635272339613814,0.4901509849015098,0.2385761423857614,24,14,3.262073460079375,0.7142857142857143,17,13,0.08783894930130387,0.5384615384615384,4,2.4403600096702576,0.06686270710636523,0.04071677461034822,1.0
