metric,layer,sv_rank,n_events,n_rollouts,event_weighted_mean,rollout_weighted_mean,rollout_sd,rollout_se,standardized_rollout_effect,rollout_consistency,event_consistency,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,correct_n_events,correct_n_rollouts,correct_rollout_weighted_mean,correct_rollout_consistency,incorrect_n_events,incorrect_n_rollouts,incorrect_rollout_weighted_mean,incorrect_rollout_consistency,ambiguous_n_events,ambiguous_rollout_weighted_mean,status_preservation_ratio,rank_score,permutation_p_holm
delta,21,27,45,19,-26.490792814890543,-27.17455396317599,50.98901205632705,11.69768162023719,-0.5329492152771372,0.7368421052631579,0.6444444444444445,-49.97095791540647,-5.70665982125099,0.034996500349965,0.017798220177982202,24,14,-16.16931877249763,0.5714285714285714,17,13,-35.051135503328766,0.6923076923076923,4,-25.236345291137695,0.5950168968516848,0.32224729698201354,1.0
delta,21,28,45,19,-38.050211376614044,-48.90137284262139,57.38821342567436,13.165759098571508,-0.8521152676403737,0.8421052631578947,0.7111111111111111,-72.84499851130603,-22.749296909466132,0.0016998300169983002,0.0007999200079992001,24,14,-49.95284879775274,0.8571428571428571,17,13,-24.23819798689622,0.6923076923076923,4,-57.002564430236816,0.49565475523359387,0.48796912980781804,1.0
delta,21,29,45,19,1.9094923655192058,-5.843959323146886,49.98304107602402,11.466896049538484,-0.116918842818272,0.47368421052631576,0.4666666666666667,-28.25124818358505,15.442464680420724,0.6137386261373863,0.3076692330766923,24,14,8.792773519243513,0.6428571428571429,17,13,-3.870094494941907,0.5384615384615384,4,-26.355910778045654,0.0,0.021537681571786947,1.0
delta,21,30,45,19,-22.879020531972248,-21.687490304311115,43.45335423350338,9.96888315061666,-0.499098186707751,0.6842105263157895,0.7111111111111111,-40.56581482448075,-3.010586586542302,0.045995400459954004,0.0240975902409759,24,14,-11.011999141602288,0.5714285714285714,17,13,-30.56713764484112,0.7692307692307693,4,-82.96478366851807,0.507758112491849,0.2651287676632099,1.0
delta,21,31,45,19,1.9327233208550347,0.05491646549157954,53.74498083936854,12.329944221123013,0.001021797098704199,0.5789473684210527,0.5333333333333333,-23.648630003761824,23.597494976144077,0.9963003699630038,0.49445055494450557,24,14,10.429724784124463,0.5714285714285714,17,13,-10.86769808255709,0.6153846153846154,4,11.112927436828613,0.0,0.0002016704800074077,1.0
delta,21,32,45,19,-7.508539157443576,-7.795270986724317,64.67990981530615,14.838588976960208,-0.12052074607066951,0.5263157894736842,0.6,-37.381598037585874,19.79103503561856,0.6180381961803819,0.31216878312168783,24,14,-37.08989035515559,0.7142857142857143,17,13,13.870184996189217,0.38461538461538464,4,-1.1778993606567383,0.0,0.022994089710851418,1.0
delta,22,1,45,19,9.437321005927192,25.3240287429408,60.69456964953446,13.924289238105871,0.4172371414636934,0.6842105263157895,0.5111111111111111,-0.021340172960046346,52.9149224864809,0.08739126087391261,0.0428957104289571,24,14,46.2731150445484,0.7142857142857143,17,13,-31.485597121409878,0.6923076923076923,4,59.20851421356201,0.0,0.08783939820288282,1.0
delta,22,2,45,19,-13.198141437106662,-6.458598346040961,65.6126219344518,15.052567812263975,-0.09843530338557752,0.47368421052631576,0.6,-35.707612027410875,23.213104229433476,0.6776322367763223,0.3387661233876612,24,14,-4.209655625479562,0.5714285714285714,17,13,-11.519537216577776,0.6153846153846154,4,-19.902667999267578,0.6517908995006676,0.05358923835161796,1.0
delta,22,3,45,19,-5.888478130764431,-7.125603374681975,33.988879060798205,7.797583633170789,-0.209645141928215,0.5789473684210527,0.5111111111111111,-22.462937079814445,7.126195489314563,0.37906209379062095,0.1924807519248075,24,14,-11.851484684717088,0.6428571428571429,17,13,-0.3494550753862434,0.46153846153846156,4,-34.17604970932007,0.04904217327446183,0.047465033300919675,1.0
delta,22,4,45,19,24.655990155537925,22.847324655767068,70.80807192605936,16.244485784876428,0.32266553846608287,0.631578947368421,0.5777777777777777,-8.532790774629827,52.72766983634546,0.17318268173182683,0.08749125087491251,24,14,65.95852084386917,0.7857142857142857,17,13,-6.406877493247008,0.6153846153846154,4,-8.803194046020508,0.0,0.06580678745031954,1.0
delta,22,5,45,19,-10.533654700385199,8.031089749252592,126.80412903228705,29.090862319759538,0.06333460756004014,0.3684210526315789,0.4888888888888889,-45.098781599914815,66.43292602781663,0.7922207779222078,0.39506049395060494,24,14,-46.76376060077122,0.7142857142857143,17,13,30.96623112605168,0.6923076923076923,4,45.03938293457031,0.0,0.010833551293164762,1.0
delta,22,6,45,19,20.742109468248156,-1.681574871665547,147.33682163812907,33.80138506226744,-0.011413133885809132,0.42105263157894735,0.4666666666666667,-68.5386659321032,60.12861161984895,0.9605039496050395,0.48335166483351666,24,14,63.13140991755894,0.6428571428571429,17,13,-35.49545473930163,0.6153846153846154,4,-40.945152282714844,0.0,0.0020273329928739902,1.0
delta,22,7,45,19,10.231987391577826,5.685046154156066,73.76417345799298,16.922661987220874,0.07707055997032991,0.5789473684210527,0.5111111111111111,-26.775906329405935,37.16314686620445,0.7494250574942506,0.37336266373362664,24,14,57.825371549243016,0.9285714285714286,17,13,-41.22946711075612,0.8461538461538461,4,-26.092166423797607,0.0,0.015211294730986166,1.0
delta,22,8,45,19,12.219338544209798,11.304603467907821,24.865017926950994,5.704426335416136,0.45463886256260655,0.7368421052631579,0.6,-0.05348998496406858,21.70078902725588,0.06669333066693331,0.0316968303169683,24,14,17.021435612723938,0.6428571428571429,17,13,7.661165261879946,0.5384615384615384,4,22.336862564086914,0.6777031395775107,0.299381517982211,1.0
delta,22,9,45,19,3.0630906422932944,2.03687510364934,31.273824752585135,7.174707456553658,0.06513034845477189,0.5789473684210527,0.5333333333333333,-11.387372544669269,15.265338660750468,0.7786221377862214,0.39106089391060894,24,14,-3.5692644403094342,0.6428571428571429,17,13,13.008508229867005,0.6153846153846154,4,-0.3726797103881836,0.0,0.012854674037126031,1.0
delta,22,10,45,19,-2.1326436731550427,10.668140904945242,65.04474059595735,14.922286898241875,0.16401235222403648,0.5263157894736842,0.5111111111111111,-16.776229662539667,40.343164383633095,0.48455154484551544,0.24437556244375563,24,14,-14.022336851982844,0.5,17,13,17.166201542585323,0.6153846153846154,4,7.627569675445557,0.0,0.03129183035853327,1.0
