sv_index_zero_based,sv_rank,sv_label,n_layer_pairs,mean_same_rank_abs_cosine,median_same_rank_abs_cosine,min_same_rank_abs_cosine,max_same_rank_abs_cosine,exact_rank_best_match_rate,mean_same_rank_fraction_of_best,mean_best_abs_cosine,raw_sign_flip_rate,mean_abs_rank_offset,n_adjacent_pairs,adjacent_mean_same_rank_abs_cosine,adjacent_exact_rank_best_match_rate,adjacent_raw_sign_flip_rate
26,26,SV26,253,0.15732085003594212,0.07863870621233379,0.0001519169834321996,0.9795740769503252,0.09090909090909091,0.3431213320409617,0.364280266702887,0.549407114624506,11.023715415019764,22,0.4914427033007944,0.45454545454545453,0.5
27,27,SV27,253,0.14865345745594993,0.06641535819709303,0.00036112086464538777,0.9740486159364474,0.08695652173913043,0.3082705196143555,0.3702007966571682,0.43873517786561267,11.205533596837945,22,0.49529521674415694,0.5,0.5
28,28,SV28,253,0.13995033754255112,0.049205782525564755,0.0001644181752283012,0.986627312595473,0.08300395256916997,0.30940291499731803,0.3491180088371543,0.47035573122529645,11.027667984189723,22,0.4168358128689423,0.36363636363636365,0.22727272727272727
29,29,SV29,253,0.134247357515185,0.053502924236093555,4.258776188749685e-05,0.9570103187140807,0.07905138339920949,0.3041816080489614,0.37627049019888764,0.5889328063241107,11.272727272727273,22,0.3469638600595731,0.22727272727272727,0.5909090909090909
30,30,SV30,253,0.13175816788809297,0.060008261962140895,3.944953696523659e-05,0.9773188808421217,0.06324110671936758,0.29039426364119264,0.3807948256692241,0.525691699604743,12.268774703557312,22,0.42368010707052317,0.3181818181818182,0.5454545454545454
31,31,SV31,253,0.13197797880055323,0.060684112047746916,0.00047036783108989153,0.9637986650794492,0.07905138339920949,0.3034259080250956,0.36415061708797625,0.39920948616600793,12.826086956521738,22,0.4098788668729539,0.4090909090909091,0.22727272727272727
32,32,SV32,253,0.1199467411136952,0.062143405372350906,0.00027946006729815537,0.9679740192714062,0.04743083003952569,0.30451168464447986,0.35482173602364425,0.4782608695652174,12.486166007905139,22,0.38666922641932183,0.36363636363636365,0.5
33,33,SV33,253,0.12461154581476572,0.06381553694123113,0.00041109566303486507,0.9891206439474144,0.06719367588932806,0.280601768757837,0.366907766175192,0.4743083003952569,13.553359683794467,22,0.36741530485390644,0.3181818181818182,0.5
34,34,SV34,253,0.126256046739962,0.059792454401939255,0.00012993070897393782,0.9882752795717356,0.05928853754940711,0.28889577052734167,0.3758239954605853,0.5138339920948617,14.233201581027668,22,0.3743431345182266,0.36363636363636365,0.36363636363636365
35,35,SV35,253,0.1279775522543495,0.05872597328489788,0.0001968409325592141,0.9809782044115258,0.039525691699604744,0.31419201065631913,0.360677787020774,0.4505928853754941,13.695652173913043,22,0.3760881576404859,0.22727272727272727,0.4090909090909091
36,36,SV36,253,0.1590488181842733,0.05394739999880524,0.0005033232101022012,0.9909807998740954,0.08695652173913043,0.3381427882757532,0.3510588066483194,0.4743083003952569,14.529644268774703,22,0.4416592806467396,0.4090909090909091,0.3181818181818182
37,37,SV37,253,0.15658434704739926,0.05617647024448121,0.00016414963765467618,0.9904842017046133,0.1067193675889328,0.33623460092055574,0.3586135668880883,0.466403162055336,14.264822134387352,22,0.42611838616220593,0.3181818181818182,0.3181818181818182
38,38,SV38,253,0.16058454295004804,0.0562739829368871,0.00017564636890228134,0.9955704622154389,0.09881422924901186,0.31285885320554335,0.37972997815218884,0.44664031620553357,15.652173913043478,22,0.42665677574849387,0.4090909090909091,0.4090909090909091
