layer,sv_index_zero_based,sv_rank,sv_label,singular_value,gap_to_higher_rank,gap_to_lower_rank,local_gap,relative_local_gap
1,40,40,SV40,34.83992385864258,0.5408668518066406,0.9681587219238281,0.5408668518066406,0.015524340810878962
1,41,41,SV41,33.87176513671875,0.9681587219238281,0.21774673461914062,0.21774673461914062,0.006428561775279076
1,42,42,SV42,33.65401840209961,0.21774673461914062,0.6455650329589844,0.21774673461914062,0.006470155570056853
1,43,43,SV43,33.008453369140625,0.6455650329589844,0.4343910217285156,0.4343910217285156,0.013159993195398388
1,44,44,SV44,32.57406234741211,0.4343910217285156,0.50323486328125,0.4343910217285156,0.013335488128425787
1,45,45,SV45,32.07082748413086,0.50323486328125,0.2403106689453125,0.2403106689453125,0.007493123433257902
1,46,46,SV46,31.830516815185547,0.2403106689453125,0.7404956817626953,0.2403106689453125,0.007549694223961399
1,47,47,SV47,31.09002113342285,0.7404956817626953,0.48033905029296875,0.48033905029296875,0.015449942868536284
1,48,48,SV48,30.609682083129883,0.48033905029296875,0.37814903259277344,0.37814903259277344,0.012353902649684338
1,49,49,SV49,30.23153305053711,0.37814903259277344,0.42313194274902344,0.37814903259277344,0.012508430583412144
1,50,50,SV50,29.808401107788086,0.42313194274902344,0.13480567932128906,0.13480567932128906,0.004522405573979886
1,51,51,SV51,29.673595428466797,0.13480567932128906,0.32283782958984375,0.13480567932128906,0.004542950639273251
1,52,52,SV52,29.350757598876953,0.32283782958984375,0.14573287963867188,0.14573287963867188,0.0049652169674914304
1,53,53,SV53,29.20502471923828,0.14573287963867188,0.43972015380859375,0.14573287963867188,0.004989993367226051
1,54,54,SV54,28.765304565429688,0.43972015380859375,0.344390869140625,0.344390869140625,0.011972439518492565
1,55,55,SV55,28.420913696289062,0.344390869140625,0.4043445587158203,0.344390869140625,0.012117515742838076
1,56,56,SV56,28.016569137573242,0.4043445587158203,0.05743408203125,0.05743408203125,0.0020500041153941545
1,57,57,SV57,27.959135055541992,0.05743408203125,0.4063701629638672,0.05743408203125,0.0020542152651416
1,58,58,SV58,27.552764892578125,0.4063701629638672,0.28851318359375,0.28851318359375,0.010471296972140413
1,59,59,SV59,27.264251708984375,0.28851318359375,0.17656326293945312,0.17656326293945312,0.006475998858287767
1,60,60,SV60,27.087688446044922,0.17656326293945312,0.20035743713378906,0.17656326293945312,0.006518210783882268
1,61,61,SV61,26.887331008911133,0.20035743713378906,0.33930015563964844,0.20035743713378906,0.0074517413821173105
1,62,62,SV62,26.548030853271484,0.33930015563964844,0.4903907775878906,0.33930015563964844,0.01278061478513902
1,63,63,SV63,26.057640075683594,0.4903907775878906,,0.4903907775878906,0.01881946239811303
2,0,0,SV00,1067.6915283203125,,769.587158203125,769.587158203125,0.7207954149583223
2,1,1,SV01,298.1043701171875,769.587158203125,123.38420104980469,123.38420104980469,0.41389598213974943
2,2,2,SV02,174.7201690673828,123.38420104980469,55.67346954345703,55.67346954345703,0.3186436336493352
